id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
0,critical/other existing credit,'new car','500<=X<1000',female div/dep/mar,none,no known property,none,'for free',unemp/unskilled non res,yes,no,4<x<21,276<x<4813,1<x<2,x<1,x>61,x>3,x<1,no checking,1<=X<4,1
1,'delayed previously',new car,<100,male mar/wid,none,life insurance,bank,rent,high qualif/self emp/mgmt,none,yes,21<x<38,276<x<4813,2<x<3,1<x<2,47<x<61,1<x<2,x>1,'no checking',<1,1
2,'critical/other existing credit',other,'100<=X<500','male mar/wid',co applicant,no known property,none,own,'unskilled resident',yes,no,x<4,276<x<4813,x>3,x>3,19<x<33,2<x<3,x<1,no checking,'<1',1
3,delayed previously,radio/tv,'500<=X<1000',male single,co applicant,'life insurance',none,rent,'unskilled resident',yes,yes,21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,x>3,x>1,'<0',<1,0
4,'delayed previously',business,500<=X<1000,'male mar/wid',guarantor,'life insurance',none,'for free','high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,x>3,x>3,19<x<33,x<1,x<1,<0,4<=X<7,1
5,delayed previously,'new car',no known savings,'male single',co applicant,no known property,stores,own,skilled,none,yes,38<x<55,276<x<4813,1<x<2,2<x<3,47<x<61,2<x<3,x>1,'>=200','1<=X<4',0
6,delayed previously,business,100<=X<500,'male div/sep',guarantor,life insurance,none,'for free','unemp/unskilled non res',none,yes,21<x<38,276<x<4813,x>3,1<x<2,33<x<47,2<x<3,x<1,0<=X<200,'4<=X<7',0
7,'delayed previously',used car,'>=1000','female div/dep/mar',co applicant,'real estate',stores,for free,unemp/unskilled non res,yes,yes,38<x<55,276<x<4813,x<1,x<1,x>61,1<x<2,x<1,'>=200','<1',1
8,all paid,domestic appliance,no known savings,female div/dep/mar,none,car,bank,for free,'unskilled resident',yes,yes,4<x<21,4813<x<9350,2<x<3,1<x<2,x>61,2<x<3,x>1,'no checking','1<=X<4',1
9,no credits/all paid,'new car',500<=X<1000,'male div/sep',co applicant,'no known property',stores,for free,high qualif/self emp/mgmt,none,yes,4<x<21,276<x<4813,2<x<3,x<1,33<x<47,1<x<2,x<1,no checking,1<=X<4,0
10,existing paid,retraining,<100,male mar/wid,guarantor,life insurance,bank,for free,unskilled resident,none,no,4<x<21,276<x<4813,x>3,2<x<3,47<x<61,x>3,x>1,0<=X<200,'<1',1
11,'all paid',business,100<=X<500,'male div/sep',none,real estate,bank,own,'unemp/unskilled non res',none,no,x>55,276<x<4813,1<x<2,x>3,33<x<47,x>3,x<1,<0,1<=X<4,1
12,delayed previously,other,'>=1000','female div/dep/mar','co applicant',real estate,stores,rent,'high qualif/self emp/mgmt',yes,no,4<x<21,4813<x<9350,x<1,2<x<3,19<x<33,x>3,x<1,'<0','>=7',1
13,delayed previously,radio/tv,'500<=X<1000',male div/sep,co applicant,'real estate',bank,rent,'high qualif/self emp/mgmt',none,yes,x>55,276<x<4813,x>3,x>3,47<x<61,x>3,x>1,0<=X<200,'1<=X<4',0
14,no credits/all paid,domestic appliance,500<=X<1000,female div/dep/mar,guarantor,'no known property',stores,'for free',skilled,none,no,4<x<21,276<x<4813,x<1,2<x<3,33<x<47,1<x<2,x>1,'>=200','1<=X<4',1
15,existing paid,furniture/equipment,'no known savings',female div/dep/mar,none,life insurance,none,for free,unemp/unskilled non res,none,yes,38<x<55,4813<x<9350,x<1,2<x<3,x>61,1<x<2,x>1,'no checking',>=7,1
16,'all paid',radio/tv,'<100',male mar/wid,co applicant,car,stores,for free,unskilled resident,yes,yes,21<x<38,276<x<4813,x>3,2<x<3,19<x<33,1<x<2,x>1,'>=200',unemployed,1
17,all paid,other,'<100','male div/sep',co applicant,'real estate',none,own,high qualif/self emp/mgmt,none,no,4<x<21,276<x<4813,1<x<2,x>3,19<x<33,1<x<2,x<1,'>=200','<1',0
18,no credits/all paid,'used car','500<=X<1000','male div/sep','co applicant',life insurance,none,rent,high qualif/self emp/mgmt,none,no,21<x<38,276<x<4813,2<x<3,1<x<2,x>61,x<1,x<1,no checking,unemployed,0
19,'no credits/all paid',retraining,'100<=X<500',male mar/wid,guarantor,real estate,none,'for free',unemp/unskilled non res,yes,yes,21<x<38,276<x<4813,2<x<3,1<x<2,33<x<47,x<1,x<1,'0<=X<200','4<=X<7',1
20,no credits/all paid,'domestic appliance',no known savings,male mar/wid,co applicant,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes,38<x<55,276<x<4813,x<1,1<x<2,x>61,1<x<2,x>1,<0,4<=X<7,0
21,all paid,repairs,no known savings,male single,co applicant,'real estate',stores,'for free','unemp/unskilled non res',none,no,4<x<21,x>13887,2<x<3,2<x<3,33<x<47,x<1,x<1,'0<=X<200','<1',1
22,existing paid,other,<100,male single,none,'life insurance',none,rent,high qualif/self emp/mgmt,yes,yes,38<x<55,276<x<4813,x>3,1<x<2,19<x<33,x<1,x>1,'>=200','1<=X<4',0
23,'all paid','domestic appliance','100<=X<500','male div/sep',co applicant,no known property,stores,'for free','high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,2<x<3,x<1,x>61,x>3,x>1,'<0',unemployed,1
24,'delayed previously',other,'<100',male div/sep,co applicant,real estate,none,'for free','unskilled resident',yes,no,4<x<21,276<x<4813,x<1,x>3,33<x<47,1<x<2,x<1,'0<=X<200',unemployed,1
25,all paid,'used car',100<=X<500,'female div/dep/mar',guarantor,car,none,own,'unskilled resident',yes,yes,38<x<55,276<x<4813,x<1,1<x<2,47<x<61,x<1,x<1,<0,unemployed,0
26,'no credits/all paid','new car','500<=X<1000','male single',co applicant,life insurance,stores,own,high qualif/self emp/mgmt,yes,no,4<x<21,276<x<4813,1<x<2,1<x<2,19<x<33,2<x<3,x>1,0<=X<200,'1<=X<4',1
27,'delayed previously',repairs,'<100',female div/dep/mar,'co applicant',car,none,'for free','unskilled resident',yes,yes,4<x<21,276<x<4813,x<1,1<x<2,33<x<47,2<x<3,x<1,'>=200','4<=X<7',1
28,'no credits/all paid','domestic appliance',>=1000,male single,guarantor,no known property,stores,'for free','high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,x>3,x>3,19<x<33,x<1,x<1,'0<=X<200','<1',1
29,existing paid,education,<100,'female div/dep/mar',guarantor,no known property,stores,for free,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,1<x<2,1<x<2,47<x<61,1<x<2,x>1,<0,'1<=X<4',1
30,'existing paid',radio/tv,'100<=X<500','female div/dep/mar',guarantor,'life insurance',bank,'for free','unskilled resident',none,yes,21<x<38,9350<x<13887,2<x<3,x>3,19<x<33,x<1,x>1,'>=200',>=7,0
31,all paid,repairs,<100,'male div/sep','co applicant',real estate,none,for free,skilled,yes,no,4<x<21,4813<x<9350,1<x<2,1<x<2,19<x<33,1<x<2,x>1,>=200,'>=7',1
32,'existing paid',other,no known savings,female div/dep/mar,none,no known property,bank,for free,unemp/unskilled non res,none,no,4<x<21,4813<x<9350,x>3,x<1,47<x<61,2<x<3,x>1,>=200,<1,1
